DATE,TIME,PICK UP ADDRESS
07-01-2014,12:00:00 AM," 874 E 139th St Mott Haven, BX"
07-01-2014,12:01:00 AM," 628 E 141st St Mott Haven, BX"
07-01-2014,12:01:00 AM," 601 E 156th St South Bronx, BX"
07-01-2014,12:01:00 AM," 708 E 138th St Mott Haven, BX"
07-01-2014,12:02:00 AM," 700 E 140th St Mott Haven, BX"
07-01-2014,12:03:00 AM," 514 E 163rd St Cortlandt, BX"
07-01-2014,12:08:00 AM," 300 E 150th St Cortlandt, BX"
07-01-2014,12:10:00 AM," 370 E 153rd St South Bronx, BX"
07-01-2014,12:11:00 AM," 455 E 148th St South Bronx, BX"
07-01-2014,12:11:00 AM," 600 E 141st St Mott Haven, BX"
07-01-2014,12:12:00 AM," 214 Saint Anns Ave Mott Haven, BX"
07-01-2014,12:14:00 AM," 626 Trinity Ave South Bronx, BX"
07-01-2014,12:15:00 AM," 726 E 152nd St South Bronx, BX"
07-01-2014,12:18:00 AM," 414 E 140th St Mott Haven, BX"
07-01-2014,12:22:00 AM," 325 Cypress Ave Mott Haven, BX"
07-01-2014,12:24:00 AM," 720 Saint Marys St Mott Haven, BX"
07-01-2014,12:24:00 AM," 676 E 141st St Mott Haven, BX"
07-01-2014,12:28:00 AM," 3952 3rd Ave Tremont, BX"
07-01-2014,12:30:00 AM," 390 Jackson Ave South Bronx, BX"
07-01-2014,12:30:00 AM," 303 Saint Anns Ave Mott Haven, BX"
07-01-2014,12:33:00 AM," 703 E 137th St Mott Haven, BX"
07-01-2014,12:33:00 AM," 435 Austin Pl South Bronx, BX"
07-01-2014,12:34:00 AM," 535 Southern Blvd South Bronx, BX"
07-01-2014,12:35:00 AM," 630 Concord Ave South Bronx, BX"
07-01-2014,12:35:00 AM," 900 Sheridan Ave Cortlandt, BX"
07-01-2014,12:44:00 AM," 545 E 144th St Mott Haven, BX"
07-01-2014,12:46:00 AM," 360 Morris Ave Cortlandt, BX"
07-01-2014,12:46:00 AM," 480 Concord Ave South Bronx, BX"
07-01-2014,12:47:00 AM," 503 Jackson Ave South Bronx, BX"
07-01-2014,12:50:00 AM," 353 E 141st St Mott Haven, BX"
07-01-2014,12:54:00 AM," 900 Sheridan Ave Cortlandt, BX"
07-01-2014,12:54:00 AM," 924 E 181st St Westfarms, BX"
07-01-2014,12:55:00 AM," 900 Sheridan Ave Cortlandt, BX"
07-01-2014,12:55:00 AM," 331 E 146th St Cortlandt, BX"
07-01-2014,12:55:00 AM," 331 E 146th St Cortlandt, BX"
07-01-2014,12:55:00 AM," 681 Courtlandt Ave Cortlandt, BX"
07-01-2014,12:57:00 AM," 900 Sheridan Ave Cortlandt, BX"
07-01-2014,1:00:00 AM," 345 Cypress Ave Mott Haven, BX"
07-01-2014,1:00:00 AM," 58 E 161st St Cortlandt, BX"
07-01-2014,1:00:00 AM," 58 E 161st St Cortlandt, BX"
07-01-2014,1:00:00 AM," 1510 Southern Blvd Westfarms, BX"
07-01-2014,1:01:00 AM," 673 Dawson St South Bronx, BX"
07-01-2014,1:04:00 AM," 226 Willis Ave Mott Haven, BX"
07-01-2014,1:04:00 AM," 1526 Vyse Ave Westfarms, BX"
07-01-2014,1:04:00 AM," 570 Prospect Ave South Bronx, BX"
07-01-2014,1:05:00 AM," 673 Dawson St South Bronx, BX"
07-01-2014,1:10:00 AM," 700 E 156th St South Bronx, BX"
07-01-2014,1:11:00 AM," 680 Tinton Ave South Bronx, BX"
07-01-2014,1:16:00 AM," 352 Beekman Ave Mott Haven, BX"
07-01-2014,1:21:00 AM," 27 Bruckner Blvd Mott Haven, BX"
07-01-2014,1:24:00 AM," 703 E 137th St Mott Haven, BX"
07-01-2014,1:27:00 AM," 508 E 147th St South Bronx, BX"
07-01-2014,1:29:00 AM," 440 Jackson Ave South Bronx, BX"
07-01-2014,1:30:00 AM," 500 Trinity Ave South Bronx, BX"
07-01-2014,1:30:00 AM," 621 E 161st St Morrisania, BX"
07-01-2014,1:33:00 AM," 328 Beekman Ave Mott Haven, BX"
07-01-2014,1:33:00 AM," 694 E 141st St Mott Haven, BX"
07-01-2014,1:37:00 AM," 580 Courtlandt Ave Cortlandt, BX"
07-01-2014,1:39:00 AM," 328 Beekman Ave Mott Haven, BX"
07-01-2014,1:43:00 AM," 283 Brook Ave Mott Haven, BX"
07-01-2014,1:48:00 AM," 511 E 146th St South Bronx, BX"
07-01-2014,1:58:00 AM," 362 Willis Ave Mott Haven, BX"
07-01-2014,2:06:00 AM," 828 Jackson Ave Morrisania, BX"
07-01-2014,2:09:00 AM," 1190 Shakespeare Ave High Bridge, BX"
07-01-2014,2:10:00 AM," 320 Morris Ave Cortlandt, BX"
07-01-2014,2:11:00 AM," 2319 Beaumont Ave Fordham, BX"
07-01-2014,2:16:00 AM," 504 Brook Ave South Bronx, BX\"
07-01-2014,2:16:00 AM," 350 E 137th St Mott Haven, BX"
07-01-2014,2:16:00 AM," 627 E 141st St Mott Haven, BX"
07-01-2014,2:17:00 AM," 721 Tinton Ave South Bronx, BX"
07-01-2014,2:23:00 AM," 475 Willis Ave South Bronx, BX"
07-01-2014,2:26:00 AM," 912 Kelly St Foxhurst, BX"
07-01-2014,2:28:00 AM," 681 Courtlandt Ave Cortlandt, BX"
07-01-2014,2:28:00 AM," 681 Courtlandt Ave Cortlandt, BX"
07-01-2014,2:34:00 AM," 681 Courtlandt Ave Cortlandt, BX"
07-01-2014,2:35:00 AM," 700 E 156th St South Bronx, BX"
07-01-2014,2:36:00 AM," 613 E 138th St Mott Haven, BX"
07-01-2014,2:38:00 AM," 425 Claremont Pkwy Tremont, BX"
07-01-2014,2:53:00 AM," 380 E 143rd St Mott Haven, BX"
07-01-2014,2:54:00 AM," 3103 3rd Ave Cortlandt, BX"
07-01-2014,3:03:00 AM," 165 Saint Anns Ave Mott Haven, BX"
07-01-2014,3:04:00 AM," 400 Brook Ave Mott Haven, BX"
07-01-2014,3:04:00 AM," 726 E 152nd St South Bronx, BX"
07-01-2014,3:06:00 AM," 551 E 148th St South Bronx, BX"
07-01-2014,3:11:00 AM," 920 Westchester Ave Foxhurst, BX"
07-01-2014,3:15:00 AM," 820 Saint Anns Ave Morrisania, BX"
